fact_id,food_beverage_id,polymer_id,biocoagulation_id,biological_sample_id,food_item,food_category,sample_preparation,quality_parameter,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized,source_table
MP_0058,FW_0058,POLY_058,BC_058,BS_058,Mackerel (T. japonicus),Marine animal origin,"Digestion: 10% KOH + 14% EDTA + 30% H2O2 (40°C, 48 h)","Recovery (PP 98.0 ± 8.37, PE 96.0 ± 5.48, PS 90.0 ± 7.07, PA 96.0 ± 5.48, PMMA 96.0 ± 5.48, PET 96.0 ± 5.48, PVC 96.0 ± 5.48)",8.33,>30 µm,PP,Optical microscopy,food_water_beverages
MP_0059,FW_0059,POLY_059,BC_059,BS_059,Mackerel (T. trachurus),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",Not Reported,0.7,Not Reported,PE,Optical microscopy,food_water_beverages
MP_0060,FW_0060,POLY_060,BC_060,BS_060,Manila Clam (Farmed),Marine animal origin,"Digestion: 69–71% HNO3 (90°C, 4 h)",Not Reported,11.3,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0061,FW_0061,POLY_061,BC_061,BS_061,Manila Clam (T. philippinarum),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)","Recovery (PE 100%, EPS 100%, PP 93 ± 6%, PA-6 93 ± 6%, PES 90 ± 14%); LOD (PE 0.24, PP 0.24, PS 0.24, PES 0.51, PEVA 0.51)",1.15,100–200 µm,PE,µ-FTIR,food_water_beverages
MP_0062,FW_0062,POLY_062,BC_062,BS_062,Manila Clam (Wild),Marine animal origin,"Digestion: 69–71% HNO3 (90°C, 4 h)",Not Reported,8.4,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0063,FW_0063,POLY_063,BC_063,BS_063,Mullet (C. subviridis - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",Not Reported,0.3,1–1000 µm,PS,Optical microscopy,food_water_beverages
MP_0064,FW_0064,POLY_064,BC_064,BS_064,Mullet (L. klunzingeri),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",Not Reported,0.275,Fibers 50–8000 µm; Fragments <500 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0065,FW_0065,POLY_065,BC_065,BS_065,Mullet (L. klunzingri),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0066,FW_0066,POLY_066,BC_066,BS_066,Mussel,Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h)",Not Reported,0.76,> 15 µm,PE,Optical microscopy,food_water_beverages
MP_0067,FW_0067,POLY_067,BC_067,BS_067,Mussel,Marine animal origin,"Digestion: lipase, protease (200 rpm, 60°C, 24 h); density separation NaCL (ρ = 1.2 g/mL)","Recovery (PE 100%, PP 97 ± 6%, EPS 90 ± 10%, polyester 60 ± 10%)",1.43,50–1000 µm,PE,µ-FTIR,food_water_beverages
MP_0068,FW_0068,POLY_068,BC_068,BS_068,Mussel,Marine animal origin,"Digestion:10% KOH (rt, 21 days)",Not Reported,2.19,20–5000 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0069,FW_0069,POLY_069,BC_069,BS_069,"Mussel (M. edulis - Depurated, 3 days)",Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",Not Reported,0.24,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0070,FW_0070,POLY_070,BC_070,BS_070,Mussel (M. edulis - Farmed),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",Not Reported,2.22,Not Reported,PS,Optical microscopy,food_water_beverages
MP_0071,FW_0071,POLY_071,BC_071,BS_071,Mussel (M. edulis - Farmed),Marine animal origin,"Digestion: 30% H2O2 (55–65 °C, until full H2O2 evaporation); density separation: NaCl (ρ = 250 g/L)",Not Reported,178,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0072,FW_0072,POLY_072,BC_072,BS_072,"Mussel (M. edulis - Farmed, live)",Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",Not Reported,0.9,33–4700 µm,PP,Optical microscopy,food_water_beverages
MP_0073,FW_0073,POLY_073,BC_073,BS_073,"Mussel (M. edulis - Farmed, processed)",Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",Not Reported,1.4,33–4700 µm,PP,Optical microscopy,food_water_beverages
MP_0074,FW_0074,POLY_074,BC_074,BS_074,Mussel (M. edulis - Untreated),Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",Not Reported,0.36,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0075,FW_0075,POLY_075,BC_075,BS_075,Mussel (M. edulis - Wild),Marine animal origin,"Digestion: 30% H2O2 (55–65 °C, until full H2O2 evaporation); density separation: NaCl (ρ = 250 g/L)",Not Reported,106,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0076,FW_0076,POLY_076,BC_076,BS_076,Mussel (M. edulis - Wild),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",Not Reported,0.7,33–4700 µm,PEST,Optical microscopy,food_water_beverages
MP_0077,FW_0077,POLY_077,BC_077,BS_077,Mussel (M. edulis and P. viridis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",Not Reported,0.77,250–1000 µm,PET,Optical microscopy,food_water_beverages
MP_0078,FW_0078,POLY_078,BC_078,BS_078,Mussel (M. edulis),Marine animal origin,"Digestion: 966 UHb/mL Corolase® 7089 (60°C, 24h)","Recovery (HDPE 98 ± 0.2%, PET 97 ± 6.3%, PA-6 85 ± 13.2%)",10.4,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0079,FW_0079,POLY_079,BC_079,BS_079,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)","Recovery (PE 100%, EPS 100%, PP 93 ± 6%, PA-6 93 ± 6%, PES 90 ± 14%); LOD (PE 0.24, PP 0.24, PS 0.24, PES 0.51, PEVA 0.51)",0.68,100–200 µm,PE,µ-FTIR,food_water_beverages
MP_0080,FW_0080,POLY_080,BC_080,BS_080,Mussel (M. edulis),Marine animal origin,"Digestion: 0.3125% trypsin (250 rmp, 38–42°C, 30 min)",Degradation test of different polymers,1.05,200–10000 µm,PA,ATR-FTIR,food_water_beverages
MP_0081,FW_0081,POLY_081,BC_081,BS_081,Mussel (M. edulis),Marine animal origin,"Digestion: HNO3:HClO4 4/1 v/v ((80°C, 10 min + 30 min cooling time) * 2)","LOD (Fibers: black 2.3 items/analysis, blue 4.7 items/analysis, red 1.5 items/analysis, other <1 fibers/analysis )",0.35,200–1500 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0082,FW_0082,POLY_082,BC_082,BS_082,Mussel (M. edulis),Marine animal origin,"Proteinase K (50 °C, 2h + shaking 20 min + 60 °C, 20 min); H2O2 ( rt, 24 h)",Recovery (97%),6,30–2000 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0083,FW_0083,POLY_083,BC_083,BS_083,Mussel (M. edulis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h); density separation: NaCl",Recovery (95%),1.5,33–4700 µm,CP,Optical microscopy,food_water_beverages
MP_0084,FW_0084,POLY_084,BC_084,BS_084,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (50°C, 3 h); density separation: NaI (ρ = 2.8 g/mL)","Digestion recovery (PE 103.8 ± 0.7, PP 102.0 ± 0.2, PS 101.3 ± 0.1, PVC 97.3 ± 0.4); TGA-FTIR-GC/MS recovery (PE 103.0 ± 2.56%, PP 92.5 ± 3.66%, PS 108.5 ± 3.63%, PVC 106.0 ± 3.02%); Linearity and linearity range (R2 ≥ 0.99; PE, PP, PS 25 - 500 μg; PVC 100 - 500 μg)",0,Not Reported,UNKNOWN,TGA-FTIR-GC/MS,food_water_beverages
MP_0085,FW_0085,POLY_085,BC_085,BS_085,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: as such (4 h) + 50% KI (4 h)","Recovery (PE ~100%, PP ~75%, PVC ~85%)",0.61,50–100 µm,PP,µ-FTIR,food_water_beverages
MP_0086,FW_0086,POLY_086,BC_086,BS_086,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (60°C, 24h); density separation: as such (4h) + 50% KI (4h)","Recovery (PE ~100%, PP ~75%, PVC ~85%)",0.9,30–200 µm,PP,µ-FTIR,food_water_beverages
MP_0087,FW_0087,POLY_087,BC_087,BS_087,Mussel (M. edulis),Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",Not Reported,0.2,Not Reported,LDPE,Optical microscopy,food_water_beverages
MP_0088,FW_0088,POLY_088,BC_088,BS_088,Mussel (M. edulis),Marine animal origin,"Digestion: 65% HNO3 + HClO4 68% (4:1 v:v, rt, 24h + 100 C, 10 min); dilution: dilution: water (1:10 v/v, 100°C)",Not Reported,0.13,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0089,FW_0089,POLY_089,BC_089,BS_089,Mussel (M. edulis),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O4",Recovery (34%),19,10–5000 µm,UNKNOWN,Optical microscopy,food_water_beverages
