food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0103,"Mussel (M. galloprovincialis, M. edulis, M. chilensis - Processed)",Marine animal origin,"Digestion: 30% H2O2
(65°C, 36–48 h)",0.17,150–6000 µm,PE,Optical microscopy
FW_0104,Mussel (M. modiolus),Marine animal origin,"Digestion: 19.3 UHb/mL Corolase® 7089 enzyme mixture (60°C, 24 h)",3.5,Not Reported,PET,Optical microscopy
FW_0105,Mussel (Mytilus spp),Marine animal origin,"Digestion: 10% KOH (140 rpm, 60°C, 24 h)",0,70–3870 µm,CP,Optical microscopy
FW_0106,Mussel (Mytilus spp),Marine animal origin,"Digestion: 9.6 UHb/mL Corolase® 7089 enzyme mixture (60°C, 24 h)",3.2,Not Reported,PET,Optical microscopy
FW_0107,Mussel (P. canaliculus),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (80°C)",0,50–700 µm,PE,Optical microscopy
FW_0108,Mussel (P. perna),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (40°C, 72 h)",0.87,Not Reported,PE,Optical microscopy
FW_0109,"Mussel (P. perna, farmed depurated)",Marine animal origin,"Digestion: 30% H2O2 (rt, 7 days); density separation: NaCl",18.4,> 45 µm,PA,Optical microscopy
FW_0110,"Mussel (P. perna, farmed not depurated)",Marine animal origin,"Digestion: 30% H2O2 (rt, 7 days); density separation: NaCl",25.9,> 45 µm,PA,Optical microscopy
FW_0111,"Mussel (P. perna, wild depurated)",Marine animal origin,"Digestion: 30% H2O2 (rt, 7 days); density separation: NaCl",16.6,> 45 µm,PA,Optical microscopy
FW_0112,"Mussel (P. perna, wild not depurated)",Marine animal origin,"Digestion: 30% H2O2 (rt, 7 days); density separation: NaCl",31.2,> 45 µm,PA,Optical microscopy
FW_0113,Mussel (P. viridis),Marine animal origin,"Digestion: 10% KOH (125 rpm, 40°C, 72 h); staining: Nile red 5 µg/mL (30 min)",3.28,21.06–1500 µm,PU,Fluorescence microscopy
FW_0114,Mussel (P. viridis),Marine animal origin,"Digestion: 10% KOH + 14% EDTA + 30% H2O2 (40°C, 48 h)",32.7,>30 µm,PP,Optical microscopy
FW_0115,Mussel (P. viridis),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (40°C, 72 h)",0.87,Not Reported,PE,Optical microscopy
FW_0116,Mussel (P. viridis),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: 50% KI",2.06,Not Reported,PP,µ-FTIR
FW_0117,Mussel (Stuffed),Marine animal origin,"Digestion: KOH/NaClO/H2O2 1:1:5 (rt, 10 days); density separatio: NaI (ρ = 1.6 g/mL)",0.63,500–5000 µm,PE,Optical microscopy
FW_0118,"Mussels (C. meridionalis, M. meridionalis)",Marine animal origin,"Digestion: 10% KOH (60°C, 48 h)",3.83,250–1000 µm,PET,Optical microscopy
FW_0119,"Mussels (M. edulis, M. galloprovincialis - Wild)",Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.41,Not Reported,PS,Optical microscopy
FW_0120,Mussels (M. galloprovincialis),Marine animal origin,"Digestion: 10% KOH (50°C, untill complete digestion); density separation: NaCl (ρ = 1.2 g /mL)",3.8,Not Reported,UNKNOWN,Optical microscopy
FW_0121,"Mussels (M. galloprovincialis, C. meridionalis, A. ater)",Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",4.27,50–1000 µm,UNKNOWN,Optical microscopy
